tweet_id,created_at,text
1009134789838843905,2018-06-19 18:04:17,I want to take a moment to address the current illegal immigration crisis on the Southern Border...it has been goin… https://t.co/TzmghX7msJ
1009127586528661504,2018-06-19 17:35:39,THANK YOU @NFIB! #NFIB75 https://t.co/5ppZhQhZu0
1009094070638084118,2018-06-19 15:22:29,"Join me tomorrow in Duluth, Minnesota for a #MAGA Rally! Tickets: https://t.co/mhhJB8WQlF https://t.co/gP59o1RDqW"
1009076294615814145,2018-06-19 14:11:51,#CHANGETHELAWS   Now is the best opportunity ever for Congress to change the ridiculous and obsolete laws on immigr… https://t.co/UE55LlOUHz
1009075083112050690,2018-06-19 14:07:02,"We must always arrest people coming into our Country illegally. Of the 12,000 children, 10,000 are being sent by th… https://t.co/binoy1gDOH"
1009071403918864385,2018-06-19 13:52:24,"Democrats are the problem. They don’t care about crime and want illegal immigrants, no matter how bad they may be,… https://t.co/ASy1D9UXLy"
1009071378371313664,2018-06-19 13:52:18,"If you don’t have Borders, you don’t have a Country!"
1009071330661142533,2018-06-19 13:52:07,Crime in Germany is up 10% plus (officials do not want to report these crimes) since migrants were accepted. Others… https://t.co/TLFg6fg1tN
1009071326219395073,2018-06-19 13:52:06,I can’t think of something more concerning than a law enforcement officer suggesting that their going to use their… https://t.co/77nLJKxgDK
1008732992481710081,2018-06-18 15:27:41,Comey gave Strozk his marching orders. Mueller is Comey’s best friend. Witch Hunt!
1008725438972211200,2018-06-18 14:57:40,If President Obama (who got nowhere with North Korea and would have had to go to war with many millions of people b… https://t.co/7Wv5rZ14pr
1008709364939677697,2018-06-18 13:53:48,It is the Democrats fault for being weak and ineffective with Boarder Security and Crime. Tell them to start thinki… https://t.co/P1CiI0U73I
1008708634396721153,2018-06-18 13:50:53,CHANGE THE LAWS!
1008708576628625408,2018-06-18 13:50:40,Children are being used by some of the worst criminals on earth as a means to enter our country. Has anyone been lo… https://t.co/sGqEpBPIvg
1008696952559734787,2018-06-18 13:04:28,We don’t want what is happening with immigration in Europe to happen with us!
1008696508697513985,2018-06-18 13:02:43,The people of Germany are turning against their leadership as migration is rocking the already tenuous Berlin coali… https://t.co/lX81ySIvts
1008692333771132929,2018-06-18 12:46:07,Why don’t the Democrats give us the votes to fix the world’s worst immigration laws? Where is the outcry for the ki… https://t.co/UxvDtVF6cS
1008515606751084544,2018-06-18 01:03:52,"“The highest level of bias I’ve ever witnessed in any law enforcement officer.” Trey Gowdy on the FBI’s own, Peter… https://t.co/D6wt89HrI8"
1008511869970255872,2018-06-18 00:49:01,The Democrats should get together with their Republican counterparts and work something out on Border Security &amp; Sa… https://t.co/t5Ckwe94P0
1008510118395293699,2018-06-18 00:42:04,"Why was the FBI’s sick loser, Peter Strzok, working on the totally discredited Mueller team of 13 Angry &amp; Conflicte… https://t.co/Nb5PYNpKyf"
1008506045373845504,2018-06-18 00:25:53,"Why was the FBI giving so much information to the Fake News Media. They are not supposed to be doing that, and know… https://t.co/cQ4u1JFjTU"
1008392634468093955,2018-06-17 16:55:13,RT @WhiteHouse: Happy Father's Day! https://t.co/1Legof68lb
1008362351807037441,2018-06-17 14:54:53,"WITCH HUNT! There was no Russian Collusion. Oh, I see, there was no Russian Collusion, so now they look for obstruc… https://t.co/vCDJvDuts8"
1008357861599129600,2018-06-17 14:37:03,"RT @realDonaldTrump: The IG Report totally destroys James Comey and all of his minions including the great lovers, Peter Strzok and Lisa Pa…"
1008357782410711041,2018-06-17 14:36:44,"RT @realDonaldTrump: My supporters are the smartest, strongest, most hard working and most loyal that we have seen in our countries history…"
1008357746683580417,2018-06-17 14:36:35,"RT @realDonaldTrump: Democrats can fix their forced family breakup at the Border by working with Republicans on new legislation, for a chan…"
1008357631721951234,2018-06-17 14:36:08,"RT @realDonaldTrump: I’ve had to beat 17 very talented people including the Bush Dynasty, then I had to beat the Clinton Dynasty, and now I…"
1008340100877570048,2018-06-17 13:26:28,Washington Post employees want to go on strike because Bezos isn’t paying them enough. I think a really long strike… https://t.co/9zg9ex7xXR
1008335560988078080,2018-06-17 13:08:26,"Our economy is perhaps BETTER than it has ever been. Companies doing really well, and moving back to America, and j… https://t.co/v2og0NMSZE"
1008333717545410560,2018-06-17 13:01:06,The denuclearization deal with North Korea is being praised and celebrated all over Asia. They are so happy! Over h… https://t.co/ItgX9x2DOh
1008330598363090944,2018-06-17 12:48:43,Holding back the “war games” during the negotiations was my request because they are VERY EXPENSIVE and set a bad l… https://t.co/Jpmyv8PEEY
1008328413210398720,2018-06-17 12:40:02,"Funny how the Fake News, in a coordinated effort with each other, likes to say I gave sooo much to North Korea beca… https://t.co/MkaFk6dPfe"
1008326335083761664,2018-06-17 12:31:46,"Daniel Henninger of The Wall Street Journal: “This IG Report makes it clear, as did Rod Rosenstein’s memo, that Tru… https://t.co/cH9udZa09R"
1008317842264088576,2018-06-17 11:58:01,Please clear up the Fake News! https://t.co/3VbIKbmKwP
1008316495733186560,2018-06-17 11:52:40,"Chuck Schumer said “the Summit was what the Texans call all cattle and no hat.” Thank you Chuck, but are you sure y… https://t.co/E0NI3Jm9QY"
1007993462539644929,2018-06-16 14:29:03,"RT @WhiteHouse: “Americans must demand their lawmakers support the legislation we need to defeat MS-13 once and for all, and to ensure ever…"
1007986538985197568,2018-06-16 14:01:33,"The IG Report totally destroys James Comey and all of his minions including the great lovers, Peter Strzok and Lisa… https://t.co/eleiHw1wTj"
1007974129474121728,2018-06-16 13:12:14,"My supporters are the smartest, strongest, most hard working and most loyal that we have seen in our countries hist… https://t.co/iBBBQ2L81B"
1007972046666690561,2018-06-16 13:03:57,"Democrats can fix their forced family breakup at the Border by working with Republicans on new legislation, for a c… https://t.co/MNuogb4s3x"
1007968016221507585,2018-06-16 12:47:56,RT @realDonaldTrump: The Democrats are forcing the breakup of families at the Border with their horrible and cruel legislative agenda. Any…
1007752687792910336,2018-06-15 22:32:18,Great discussions with European Union Commission President Jean-Claude Juncker and EU Council President Donald Tusk… https://t.co/7CB3tkR9Et
1007750530976927744,2018-06-15 22:23:44,The Fake News Media said that I did not get along with other Leaders at the #G7Summit in Canada. They are once agai… https://t.co/PsRL9VSjOG
1007745343306584064,2018-06-15 22:03:07,"I have a great relationship with Angela Merkel of Germany, but the Fake News Media only shows the bad photos (imply… https://t.co/qk62K60WZn"
1007681553676283904,2018-06-15 17:49:38,"I’ve had to beat 17 very talented people including the Bush Dynasty, then I had to beat the Clinton Dynasty, and no… https://t.co/cRIriy7aXh"
1007679422865006593,2018-06-15 17:41:10,"Wow, what a tough sentence for Paul Manafort, who has represented Ronald Reagan, Bob Dole and many other top politi… https://t.co/YNjm2jx3CB"
1007671131841671169,2018-06-15 17:08:14,The Democrats are forcing the breakup of families at the Border with their horrible and cruel legislative agenda. A… https://t.co/cJqNXOMXpH
1007594445104189441,2018-06-15 12:03:30,“Donald Trump was 100% right to fire James Comey.” Mark Levin
1007592799561289729,2018-06-15 11:56:58,"RT @foxandfriends: IG REPORT BOMBSHELL: Anti-Trump FBI agent Peter Strzok texted his lover Lisa Page ""we'll stop"" Trump from becoming presi…"
1007592744544559104,2018-06-15 11:56:45,RT @foxandfriends: DOJ IG report finds that an FBI lawyer told a bureau employee “Viva le resistance” after President Trump was elected htt…
1007592537190797313,2018-06-15 11:55:55,RT @foxandfriends: “This is one of the most damning rebukes of the FBI that I think we’ve ever seen.” -@jasoninthehouse https://t.co/9DoTim…
1007592482656407553,2018-06-15 11:55:42,RT @foxandfriends: .@jasoninthehouse: The DOJ IG report is 562 pages of nothing but bias and animus https://t.co/7IeXfmvo1M
1007592416197607424,2018-06-15 11:55:26,RT @foxandfriends: .@jasoninthehouse: Anything Mueller is doing with his investigation is tainted by the anti-Trump FBI agents https://t.co…
1007592393728839686,2018-06-15 11:55:21,RT @foxandfriends: .@jasoninthehouse: All of this started because Hillary Clinton set up her private server https://t.co/rLzjDRxxxm
1007592042124513283,2018-06-15 11:53:57,“Why in the world didn’t Barack Obama fire this guy (Comey)?” asks Mark Levin!
1007591075601637376,2018-06-15 11:50:07,"Wow, the highest rated (by far) morning show, @foxandfriends, is on the Front Lawn of the White House. Maybe I’ll h… https://t.co/2GXXuZP8qq"
1007589800667435011,2018-06-15 11:45:03,"U.S.A. Jobs numbers are the BEST in 44 years. If my opponent (the Democrats) had won the election, they would have… https://t.co/vgRGDr8M4d"
1007580091692568576,2018-06-15 11:06:28,"Thank you for all of the compliments on getting the World Cup to come to the U.S.A., Mexico and Canada. I worked ha… https://t.co/KU0jH8V0T4"
1007577375905861637,2018-06-15 10:55:40,"The IG Report is a total disaster for Comey, his minions and sadly, the FBI. Comey will now officially go down as t… https://t.co/yMLedh3yJ0"
1007572229935202304,2018-06-15 10:35:14,"FBI Agent Peter Strzok, who headed the Clinton &amp; Russia investigations, texted to his lover Lisa Page, in the IG Re… https://t.co/KRwZclbcEW"
1007315424546091008,2018-06-14 17:34:46,Happy #FlagDay🇺🇸 https://t.co/KEUMfnoHIv
1007300111481888768,2018-06-14 16:33:55,"Happy 243rd Birthday to the @USArmy! Thank you for your bravery, sacrifices, and dedication to the U.S.A. We love y… https://t.co/e29OZgHjvb"
1007278825661784064,2018-06-14 15:09:21,"....Schneiderman, who ran the Clinton campaign in New York, never had the guts to bring this ridiculous case, which… https://t.co/w70Gd7paFf"
1007278788009480192,2018-06-14 15:09:12,"The sleazy New York Democrats, and their now disgraced (and run out of town) A.G. Eric Schneiderman, are doing ever… https://t.co/M8sTGMOcx6"
1007278701996802048,2018-06-14 15:08:51,"So, the Democrats make up a phony crime, Collusion with the Russians, pay a fortune to make the crime sound real, i… https://t.co/16HcwVo7cC"
1007278671097417729,2018-06-14 15:08:44,"Now that I am back from Singapore, where we had a great result with respect to North Korea, the thought process mus… https://t.co/2mKy5uhcXi"
1007239837529800705,2018-06-14 12:34:25,The Republican Party is starting to show very big numbers. People are starting to see what is being done. Results a… https://t.co/oMHiPSxK12
1007002252467458048,2018-06-13 20:50:20,"Congratulations to @KevinCramer on his huge win in North Dakota. We need Kevin in the Senate, and I strongly endors… https://t.co/qdIpcCXMd6"
1006993862152392704,2018-06-13 20:17:00,Congratulations to Danny Tarkanian on his big GOP primary win in Nevada. Danny worked hard an got a great result. Looking good in November!
1006992524366503941,2018-06-13 20:11:41,Senator Claire McCaskill of the GREAT State of Missouri flew around in a luxurious private jet during her RV tour o… https://t.co/Y2FQCocELA
1006891643985854464,2018-06-13 13:30:49,"So funny to watch the Fake News, especially NBC and CNN. They are fighting hard to downplay the deal with North Kor… https://t.co/khUajnNtoR"
1006866982833131520,2018-06-13 11:52:50,"Oil prices are too high, OPEC is at it again. Not good!"
1006866089110892545,2018-06-13 11:49:16,"The U.S., together with Mexico and Canada, just got the World Cup. Congratulations - a great deal of hard work!"
1006856219200548864,2018-06-13 11:10:03,"We save a fortune by not doing war games, as long as we are negotiating in good faith - which both sides are!"
1006839007492308992,2018-06-13 10:01:40,Before taking office people were assuming that we were going to War with North Korea. President Obama said that Nor… https://t.co/tA3JOYW9EE
1006837823469735936,2018-06-13 09:56:57,"Just landed - a long trip, but everybody can now feel much safer than the day I took office. There is no longer a N… https://t.co/L9KSyYsnZi"
1006837459794251776,2018-06-13 09:55:31,Congratulations to Corey Stewart for his great victory for Senator from Virginia. Now he runs against a total stiff… https://t.co/D1LN5YAQob
1006833568641777664,2018-06-13 09:40:03,"...realize the economy is the best it’s ever been with employment being at an all time high, and many companies pou… https://t.co/YehOgd992y"
1006833565022031873,2018-06-13 09:40:02,"Robert De Niro, a very Low IQ individual, has received too many shots to the head by real boxers in movies. I watch… https://t.co/rWH1fl2vyd"
1006832813499269120,2018-06-13 09:37:03,My political representatives didn’t want me to get involved in the Mark Sanford primary thinking that Sanford would… https://t.co/QAqpkU2VvR
1006706273746735105,2018-06-13 01:14:14,"A year ago the pundits &amp; talking heads, people that couldn’t do the job before, were begging for conciliation and p… https://t.co/j5z26jqRHR"
1006694541083021312,2018-06-13 00:27:36,"The World has taken a big step back from potential Nuclear catastrophe! No more rocket launches, nuclear testing or… https://t.co/wVUhIEbQr7"
1006690543403855872,2018-06-13 00:11:43,I want to thank Chairman Kim for taking the first bold step toward a bright new future for his people. Our unpreced… https://t.co/YRJMlzKL8f
1006688157096501248,2018-06-13 00:02:14,There is no limit to what NoKo can achieve when it gives up its nuclear weapons and embraces commerce &amp; engagement… https://t.co/YO6QTFrLLP
1006681862301933568,2018-06-12 23:37:13,"It's time for another #MAGA rally. Join me in Duluth, Minnesota on Wednesday, June 20th at 6:30pm!
Tickets➜… https://t.co/nJjthKnHQ5"
1006648161538961408,2018-06-12 21:23:18,"Here is the video, “A Story of Opportunity” that I shared with Kim Jong-un at the #SingaporeSummit
➡️… https://t.co/Tk74hcAYLt"
1006637378088284160,2018-06-12 20:40:28,...Got along great with Kim Jong-un who wants to see wonderful things for his country. As I said earlier today: Any… https://t.co/JrbZcOYYm8
1006637373629722624,2018-06-12 20:40:26,Heading back home from Singapore after a truly amazing visit. Great progress was made on the denuclearization of No… https://t.co/CTQ28GmSME
1006630395067039744,2018-06-12 20:12:43,Mark Sanford has been very unhelpful to me in my campaign to MAGA. He is MIA and nothing but trouble. He is better… https://t.co/JP07Q3vx3c
1006619872367804416,2018-06-12 19:30:54,"I strongly endorse Adam Laxalt for Governor of Nevada. Adam is smart, works hard, and knows how to win. He will be… https://t.co/1FysKpgcZV"
1006610957022343168,2018-06-12 18:55:28,RT @realDonaldTrump: Henry McMaster loves the people of South Carolina and was with me from the beginning. He is strong on Crime and Border…
1006446738016755712,2018-06-12 08:02:55,https://t.co/tJG3KIn2q0
1006334219759575040,2018-06-12 00:35:49,"Our Great Larry Kudlow, who has been working so hard on trade and the economy, has just suffered a heart attack. He… https://t.co/P4sfstikaa"
1006326057375584261,2018-06-12 00:03:23,Just won big Supreme Court decision on Voting! Great News!
1006296018210603008,2018-06-11 22:04:01,"The fact that I am having a meeting is a major loss for the U.S., say the haters &amp; losers. We have our hostages, te… https://t.co/9bI2JtzCMx"
1006293144911085568,2018-06-11 21:52:36,"Stock Market up almost 40% since the Election, with 7 Trillion Dollars of U.S. value built throughout the economy.… https://t.co/MtbGybefkO"
1006286790536323074,2018-06-11 21:27:21,"Meetings between staffs and representatives are going well and quickly....but in the end, that doesn’t matter. We w… https://t.co/I3RBn2PcFr"
1006081372912484353,2018-06-11 07:51:06,Thank you Prime Minister Lee Hsien Loong! https://t.co/8MMYGuOj8Q
1006003345360908295,2018-06-11 02:41:02,"Sorry, we cannot let our friends, or enemies, take advantage of us on Trade anymore. We must put the American worker first!"
1005989290520739845,2018-06-11 01:45:11,"Great to be in Singapore, excitement in the air!"
1005988633747312640,2018-06-11 01:42:35,"....Germany pays 1% (slowly) of GDP towards NATO, while we pay 4% of a MUCH larger GDP. Does anybody believe that m… https://t.co/0HGRKefUH7"
